taxon,year,count
Coccidula rufa,2020,25
Coccidula scutellata,1900,3
Coccidula scutellata,1902,1
Coccidula scutellata,1903,2
Coccidula scutellata,1905,1
Coccidula scutellata,1926,1
Coccidula scutellata,1944,1
Coccidula scutellata,1945,1
Coccidula scutellata,1955,2
Coccidula scutellata,1956,1
Coccidula scutellata,1957,2
Coccidula scutellata,1960,1
Coccidula scutellata,1961,1
Coccidula scutellata,1962,2
Coccidula scutellata,1965,1
Coccidula scutellata,1966,4
Coccidula scutellata,1969,1
Coccidula scutellata,1972,2
Coccidula scutellata,1973,1
Coccidula scutellata,1974,1
Coccidula scutellata,1975,3
Coccidula scutellata,1976,1
Coccidula scutellata,1977,5
Coccidula scutellata,1978,4
Coccidula scutellata,1979,3
Coccidula scutellata,1980,3
Coccidula scutellata,1981,2
Coccidula scutellata,1982,4
Coccidula scutellata,1983,4
Coccidula scutellata,1984,15
Coccidula scutellata,1985,4
Coccidula scutellata,1986,12
Coccidula scutellata,1987,1
Coccidula scutellata,1988,2
Coccidula scutellata,1989,4
Coccidula scutellata,1990,3
Coccidula scutellata,1991,4
Coccidula scutellata,1992,18
Coccidula scutellata,1993,8
Coccidula scutellata,1994,6
Coccidula scutellata,1995,5
Coccidula scutellata,1997,6
Coccidula scutellata,1998,2
Coccidula scutellata,1999,11
Coccidula scutellata,2000,11
Coccidula scutellata,2001,14
Coccidula scutellata,2002,6
Coccidula scutellata,2003,10
Coccidula scutellata,2004,6
Coccidula scutellata,2005,10
Coccidula scutellata,2006,6
Coccidula scutellata,2007,5
Coccidula scutellata,2008,2
Coccidula scutellata,2009,9
Coccidula scutellata,2013,1
Coccidula scutellata,2014,8
Coccidula scutellata,2015,4
Coccidula scutellata,2016,4
Coccidula scutellata,2017,4
Coccidula scutellata,2018,5
Coccidula scutellata,2019,12
Coccidula scutellata,2020,3
Coccinella hieroglyphica,1600,1
Coccinella hieroglyphica,1894,1
Coccinella hieroglyphica,1895,1
Coccinella hieroglyphica,1896,1
Coccinella hieroglyphica,1897,1
Coccinella hieroglyphica,1898,1
Coccinella hieroglyphica,1899,2
Coccinella hieroglyphica,1900,5
Coccinella hieroglyphica,1901,1
Coccinella hieroglyphica,1902,1
Coccinella hieroglyphica,1904,1
Coccinella hieroglyphica,1913,4
Coccinella hieroglyphica,1915,1
Coccinella hieroglyphica,1919,1
Coccinella hieroglyphica,1920,3
Coccinella hieroglyphica,1923,1
Coccinella hieroglyphica,1924,1
Coccinella hieroglyphica,1931,2
Coccinella hieroglyphica,1935,1
Coccinella hieroglyphica,1936,1
Coccinella hieroglyphica,1937,1
Coccinella hieroglyphica,1939,1
Coccinella hieroglyphica,1944,1
Coccinella hieroglyphica,1945,1
Coccinella hieroglyphica,1946,1
Coccinella hieroglyphica,1947,1
Coccinella hieroglyphica,1953,2
Coccinella hieroglyphica,1956,2
Coccinella hieroglyphica,1958,1
Coccinella hieroglyphica,1959,2
Coccinella hieroglyphica,1960,1
Coccinella hieroglyphica,1965,2
Coccinella hieroglyphica,1966,2
Coccinella hieroglyphica,1968,1
Coccinella hieroglyphica,1969,5
Coccinella hieroglyphica,1970,5
Coccinella hieroglyphica,1971,1
Coccinella hieroglyphica,1973,1
Coccinella hieroglyphica,1974,1
Coccinella hieroglyphica,1975,1
Coccinella hieroglyphica,1976,6
Coccinella hieroglyphica,1980,7
Coccinella hieroglyphica,1981,2
Coccinella hieroglyphica,1982,3
Coccinella hieroglyphica,1983,6
Coccinella hieroglyphica,1984,12
Coccinella hieroglyphica,1985,9
Coccinella hieroglyphica,1986,8
Coccinella hieroglyphica,1987,11
Coccinella hieroglyphica,1988,25
Coccinella hieroglyphica,1989,28
Coccinella hieroglyphica,1990,9
Coccinella hieroglyphica,1991,10
Coccinella hieroglyphica,1992,15
Coccinella hieroglyphica,1993,12
Coccinella hieroglyphica,1994,11
Coccinella hieroglyphica,1995,20
Coccinella hieroglyphica,1996,3
Coccinella hieroglyphica,1997,4
Coccinella hieroglyphica,1999,10
Coccinella hieroglyphica,2000,17
Coccinella hieroglyphica,2001,15
Coccinella hieroglyphica,2002,7
Coccinella hieroglyphica,2003,7
Coccinella hieroglyphica,2004,12
Coccinella hieroglyphica,2005,22
Coccinella hieroglyphica,2006,12
Coccinella hieroglyphica,2007,5
Coccinella hieroglyphica,2008,2
Coccinella hieroglyphica,2009,23
Coccinella hieroglyphica,2010,4
Coccinella hieroglyphica,2011,2
Coccinella hieroglyphica,2013,6
Coccinella hieroglyphica,2014,12
Coccinella hieroglyphica,2015,19
Coccinella hieroglyphica,2016,6
Coccinella hieroglyphica,2017,5
Coccinella hieroglyphica,2018,15
Coccinella hieroglyphica,2019,37
Coccinella hieroglyphica,2020,20
Coccinella magnifica,1851,4
Coccinella magnifica,1938,1
Coccinella magnifica,1949,1
Coccinella magnifica,1966,1
Coccinella magnifica,1971,3
Coccinella magnifica,1973,2
Coccinella magnifica,1974,2
Coccinella magnifica,1976,1
Coccinella magnifica,1977,3
Coccinella magnifica,1984,1
Coccinella magnifica,1985,1
Coccinella magnifica,1986,2
Coccinella magnifica,1987,2
Coccinella magnifica,1988,5
Coccinella magnifica,1989,8
Coccinella magnifica,1990,5
Coccinella magnifica,1991,1
Coccinella magnifica,1992,2
Coccinella magnifica,1993,2
Coccinella magnifica,1994,1
Coccinella magnifica,1995,1
Coccinella magnifica,1996,5
Coccinella magnifica,1997,8
Coccinella magnifica,1998,8
Coccinella magnifica,1999,3
Coccinella magnifica,2000,1
Coccinella magnifica,2002,3
Coccinella magnifica,2003,2
Coccinella magnifica,2004,5
Coccinella magnifica,2005,15
Coccinella magnifica,2006,7
Coccinella magnifica,2007,7
Coccinella magnifica,2008,8
Coccinella magnifica,2009,21
Coccinella magnifica,2010,7
Coccinella magnifica,2011,6
Coccinella magnifica,2012,1
Coccinella magnifica,2013,4
Coccinella magnifica,2014,2
Coccinella magnifica,2015,7
Coccinella magnifica,2016,16
Coccinella magnifica,2017,14
Coccinella magnifica,2018,6
Coccinella magnifica,2019,11
Coccinella magnifica,2020,8
Coccinella quinquepunctata,1832,1
Coccinella quinquepunctata,1912,1
Coccinella quinquepunctata,1913,1
Coccinella quinquepunctata,1935,2
Coccinella quinquepunctata,1938,1
Coccinella quinquepunctata,1941,1
Coccinella quinquepunctata,1953,1
Coccinella quinquepunctata,1986,1
Coccinella quinquepunctata,1987,43
Coccinella quinquepunctata,1989,9
Coccinella quinquepunctata,1990,5
Coccinella quinquepunctata,1991,5
Coccinella quinquepunctata,1992,1
Coccinella quinquepunctata,1993,1
Coccinella quinquepunctata,1994,1
Coccinella quinquepunctata,1995,2
Coccinella quinquepunctata,1996,1
Coccinella quinquepunctata,1997,6
Coccinella quinquepunctata,1999,6
Coccinella quinquepunctata,2000,1
Coccinella quinquepunctata,2002,3
Coccinella quinquepunctata,2004,8
Coccinella quinquepunctata,2005,5
Coccinella quinquepunctata,2006,8
Coccinella quinquepunctata,2007,4
Coccinella quinquepunctata,2008,4
Coccinella quinquepunctata,2010,21
Coccinella quinquepunctata,2011,2
Coccinella quinquepunctata,2013,1
Coccinella quinquepunctata,2014,5
Coccinella quinquepunctata,2015,2
Coccinella quinquepunctata,2016,19
Coccinella quinquepunctata,2017,5
Coccinella quinquepunctata,2018,15
Coccinella quinquepunctata,2019,3
Coccinella quinquepunctata,2020,8
Coccinella septempunctata,1600,2
Coccinella septempunctata,1834,2
Coccinella septempunctata,1848,2
Coccinella septempunctata,1880,1
Coccinella septempunctata,1888,1
Coccinella septempunctata,1891,2
Coccinella septempunctata,1892,1
Coccinella septempunctata,1893,1
Coccinella septempunctata,1894,1
Coccinella septempunctata,1895,1
Coccinella septempunctata,1897,4
Coccinella septempunctata,1898,1
Coccinella septempunctata,1899,1
Coccinella septempunctata,1900,2
Coccinella septempunctata,1901,1
Coccinella septempunctata,1902,2
Coccinella septempunctata,1904,1
Coccinella septempunctata,1905,10
Coccinella septempunctata,1906,3
Coccinella septempunctata,1907,2
Coccinella septempunctata,1908,1
Coccinella septempunctata,1909,1
Coccinella septempunctata,1914,2
Coccinella septempunctata,1917,2
Coccinella septempunctata,1920,2
Coccinella septempunctata,1922,3
Coccinella septempunctata,1923,1
Coccinella septempunctata,1924,4
Coccinella septempunctata,1925,2
Coccinella septempunctata,1929,2
Coccinella septempunctata,1930,2
Coccinella septempunctata,1931,7
Coccinella septempunctata,1933,2
Coccinella septempunctata,1934,2
Coccinella septempunctata,1938,4
Coccinella septempunctata,1939,1
Coccinella septempunctata,1940,4
Coccinella septempunctata,1942,1
Coccinella septempunctata,1943,5
Coccinella septempunctata,1944,3
Coccinella septempunctata,1945,2
Coccinella septempunctata,1946,4
Coccinella septempunctata,1950,1
Coccinella septempunctata,1951,3
Coccinella septempunctata,1952,3
Coccinella septempunctata,1954,1
Coccinella septempunctata,1955,1
Coccinella septempunctata,1956,10
Coccinella septempunctata,1957,1
Coccinella septempunctata,1958,3
Coccinella septempunctata,1959,5
Coccinella septempunctata,1960,4
Coccinella septempunctata,1961,8
Coccinella septempunctata,1962,3
Coccinella septempunctata,1963,2
Coccinella septempunctata,1964,3
Coccinella septempunctata,1965,7
Coccinella septempunctata,1966,4
Coccinella septempunctata,1967,3
Coccinella septempunctata,1968,5
Coccinella septempunctata,1969,5
Coccinella septempunctata,1970,15
Coccinella septempunctata,1971,18
Coccinella septempunctata,1972,57
Coccinella septempunctata,1973,37
Coccinella septempunctata,1974,23
Coccinella septempunctata,1975,62
Coccinella septempunctata,1976,108
Coccinella septempunctata,1977,230
Coccinella septempunctata,1978,151
Coccinella septempunctata,1979,92
Coccinella septempunctata,1980,141
Coccinella septempunctata,1981,85
Coccinella septempunctata,1982,116
Coccinella septempunctata,1983,173
Coccinella septempunctata,1984,276
Coccinella septempunctata,1985,265
Coccinella septempunctata,1986,116
Coccinella septempunctata,1987,121
Coccinella septempunctata,1988,345
Coccinella septempunctata,1989,924
Coccinella septempunctata,1990,665
Coccinella septempunctata,1991,495
Coccinella septempunctata,1992,626
Coccinella septempunctata,1993,580
Coccinella septempunctata,1994,612
Coccinella septempunctata,1995,918
Coccinella septempunctata,1996,725
Coccinella septempunctata,1997,624
Coccinella septempunctata,1998,467
Coccinella septempunctata,1999,548
Coccinella septempunctata,2000,725
Coccinella septempunctata,2001,1208
Coccinella septempunctata,2002,1751
Coccinella septempunctata,2003,891
Coccinella septempunctata,2004,1566
Coccinella septempunctata,2005,2784
Coccinella septempunctata,2006,2317
Coccinella septempunctata,2007,2103
Coccinella septempunctata,2008,764
Coccinella septempunctata,2009,1786
Coccinella septempunctata,2010,1533
Coccinella septempunctata,2011,518
Coccinella septempunctata,2012,255
Coccinella septempunctata,2013,1892
Coccinella septempunctata,2014,2838
Coccinella septempunctata,2015,2686
Coccinella septempunctata,2016,2280
Coccinella septempunctata,2017,1998
Coccinella septempunctata,2018,3005
Coccinella septempunctata,2019,4433
Coccinella septempunctata,2020,3695
Coccinella undecimpunctata,1600,1
Coccinella undecimpunctata,1836,1
Coccinella undecimpunctata,1878,2
Coccinella undecimpunctata,1884,1
Coccinella undecimpunctata,1885,1
Coccinella undecimpunctata,1891,1
Coccinella undecimpunctata,1892,1
Coccinella undecimpunctata,1893,4
Coccinella undecimpunctata,1894,2
Coccinella undecimpunctata,1895,1
Coccinella undecimpunctata,1897,6
Coccinella undecimpunctata,1898,1
Coccinella undecimpunctata,1900,3
Coccinella undecimpunctata,1901,1
Coccinella undecimpunctata,1902,1
Coccinella undecimpunctata,1904,2
Coccinella undecimpunctata,1905,1
Coccinella undecimpunctata,1906,1
Coccinella undecimpunctata,1907,1
Coccinella undecimpunctata,1908,2
Coccinella undecimpunctata,1909,1
Coccinella undecimpunctata,1910,1
Coccinella undecimpunctata,1911,4
Coccinella undecimpunctata,1913,1
Coccinella undecimpunctata,1916,2
Coccinella undecimpunctata,1919,2
Coccinella undecimpunctata,1920,5
Coccinella undecimpunctata,1921,1
Coccinella undecimpunctata,1924,1
Coccinella undecimpunctata,1925,4
Coccinella undecimpunctata,1926,2
Coccinella undecimpunctata,1930,3
Coccinella undecimpunctata,1931,2
Coccinella undecimpunctata,1934,3
Coccinella undecimpunctata,1935,2
Coccinella undecimpunctata,1937,2
Coccinella undecimpunctata,1938,3
Coccinella undecimpunctata,1939,1
Coccinella undecimpunctata,1940,3
Coccinella undecimpunctata,1942,1
Coccinella undecimpunctata,1943,3
Coccinella undecimpunctata,1945,1
Coccinella undecimpunctata,1949,1
Coccinella undecimpunctata,1950,3
Coccinella undecimpunctata,1953,3
Coccinella undecimpunctata,1954,2
Coccinella undecimpunctata,1955,4
Coccinella undecimpunctata,1956,6
Coccinella undecimpunctata,1958,3
Coccinella undecimpunctata,1959,2
Coccinella undecimpunctata,1960,3
Coccinella undecimpunctata,1961,4
Coccinella undecimpunctata,1962,2
Coccinella undecimpunctata,1964,3
Coccinella undecimpunctata,1968,6
Coccinella undecimpunctata,1969,7
Coccinella undecimpunctata,1970,11
Coccinella undecimpunctata,1971,9
Coccinella undecimpunctata,1972,2
Coccinella undecimpunctata,1973,8
Coccinella undecimpunctata,1974,3
Coccinella undecimpunctata,1975,19
Coccinella undecimpunctata,1976,66
Coccinella undecimpunctata,1977,62
Coccinella undecimpunctata,1978,39
Coccinella undecimpunctata,1979,28
Coccinella undecimpunctata,1980,17
Coccinella undecimpunctata,1981,10
Coccinella undecimpunctata,1982,24
Coccinella undecimpunctata,1983,47
Coccinella undecimpunctata,1984,43
Coccinella undecimpunctata,1985,28
Coccinella undecimpunctata,1986,11
Coccinella undecimpunctata,1987,18
Coccinella undecimpunctata,1988,36
Coccinella undecimpunctata,1989,95
Coccinella undecimpunctata,1990,65
Coccinella undecimpunctata,1991,34
Coccinella undecimpunctata,1992,45
Coccinella undecimpunctata,1993,36
Coccinella undecimpunctata,1994,39
Coccinella undecimpunctata,1995,103
Coccinella undecimpunctata,1996,68
Coccinella undecimpunctata,1997,36
Coccinella undecimpunctata,1998,28
Coccinella undecimpunctata,1999,41
Coccinella undecimpunctata,2000,37
Coccinella undecimpunctata,2001,58
Coccinella undecimpunctata,2002,110
Coccinella undecimpunctata,2003,35
Coccinella undecimpunctata,2004,36
Coccinella undecimpunctata,2005,48
Coccinella undecimpunctata,2006,27
Coccinella undecimpunctata,2007,24
Coccinella undecimpunctata,2008,16
Coccinella undecimpunctata,2009,85
Coccinella undecimpunctata,2010,57
Coccinella undecimpunctata,2011,10
Coccinella undecimpunctata,2012,4
Coccinella undecimpunctata,2013,33
Coccinella undecimpunctata,2014,58
Coccinella undecimpunctata,2015,60
Coccinella undecimpunctata,2016,51
Coccinella undecimpunctata,2017,50
Coccinella undecimpunctata,2018,76
Coccinella undecimpunctata,2019,85
Coccinella undecimpunctata,2020,42
Cryptolaemus montrouzieri,2007,1
Cryptolaemus montrouzieri,2014,1
Cryptolaemus montrouzieri,2018,1
Cryptolaemus montrouzieri,2020,1
Exochomus nigromaculatus,1967,2
Exochomus quadripustulatus,1848,2
Exochomus quadripustulatus,1860,2
Exochomus quadripustulatus,1890,1
Exochomus quadripustulatus,1892,1
Exochomus quadripustulatus,1897,3
Exochomus quadripustulatus,1899,2
Exochomus quadripustulatus,1901,1
Exochomus quadripustulatus,1908,1
Exochomus quadripustulatus,1914,2
Exochomus quadripustulatus,1916,2
Exochomus quadripustulatus,1919,2
Exochomus quadripustulatus,1920,3
Exochomus quadripustulatus,1922,3
Exochomus quadripustulatus,1923,6
Exochomus quadripustulatus,1927,1
Exochomus quadripustulatus,1939,2
Exochomus quadripustulatus,1942,2
Exochomus quadripustulatus,1945,2
Exochomus quadripustulatus,1950,1
Exochomus quadripustulatus,1958,2
Exochomus quadripustulatus,1959,2
Exochomus quadripustulatus,1970,3
Exochomus quadripustulatus,1971,6
Exochomus quadripustulatus,1972,2
Exochomus quadripustulatus,1973,4
Exochomus quadripustulatus,1974,6
Exochomus quadripustulatus,1975,8
Exochomus quadripustulatus,1976,6
Exochomus quadripustulatus,1977,15
Exochomus quadripustulatus,1978,12
Exochomus quadripustulatus,1979,11
Exochomus quadripustulatus,1980,4
Exochomus quadripustulatus,1981,8
Exochomus quadripustulatus,1982,7
Exochomus quadripustulatus,1983,11
Exochomus quadripustulatus,1984,19
Exochomus quadripustulatus,1985,17
Exochomus quadripustulatus,1986,12
Exochomus quadripustulatus,1987,19
Exochomus quadripustulatus,1988,16
Exochomus quadripustulatus,1989,58
Exochomus quadripustulatus,1990,62
Exochomus quadripustulatus,1991,55
Exochomus quadripustulatus,1992,68
Exochomus quadripustulatus,1993,76
Exochomus quadripustulatus,1994,46
Exochomus quadripustulatus,1995,70
Exochomus quadripustulatus,1996,95
Exochomus quadripustulatus,1997,56
Exochomus quadripustulatus,1998,47
Exochomus quadripustulatus,1999,125
Exochomus quadripustulatus,2000,171
Exochomus quadripustulatus,2001,433
Exochomus quadripustulatus,2002,510
Exochomus quadripustulatus,2003,523
Exochomus quadripustulatus,2004,496
Exochomus quadripustulatus,2005,717
Exochomus quadripustulatus,2006,661
Exochomus quadripustulatus,2007,538
Exochomus quadripustulatus,2008,234
Exochomus quadripustulatus,2009,206
Exochomus quadripustulatus,2010,124
Exochomus quadripustulatus,2011,70
Exochomus quadripustulatus,2012,25
Exochomus quadripustulatus,2013,44
Exochomus quadripustulatus,2014,103
Exochomus quadripustulatus,2015,167
Exochomus quadripustulatus,2016,160
Exochomus quadripustulatus,2017,123
Exochomus quadripustulatus,2018,131
Exochomus quadripustulatus,2019,380
Exochomus quadripustulatus,2020,376
Halyzia sedecimguttata,1870,1
Halyzia sedecimguttata,1892,2
Halyzia sedecimguttata,1894,2
Halyzia sedecimguttata,1895,1
Halyzia sedecimguttata,1896,1
Halyzia sedecimguttata,1897,2
Halyzia sedecimguttata,1898,1
Halyzia sedecimguttata,1900,6
Halyzia sedecimguttata,1902,2
Halyzia sedecimguttata,1907,1
Halyzia sedecimguttata,1911,1
Halyzia sedecimguttata,1913,1
Halyzia sedecimguttata,1915,2
Halyzia sedecimguttata,1917,1
Halyzia sedecimguttata,1919,1
Halyzia sedecimguttata,1920,4
Halyzia sedecimguttata,1922,1
Halyzia sedecimguttata,1935,1
Halyzia sedecimguttata,1938,2
Halyzia sedecimguttata,1940,1
Halyzia sedecimguttata,1950,1
Halyzia sedecimguttata,1955,2
Halyzia sedecimguttata,1958,1
Halyzia sedecimguttata,1960,1
Halyzia sedecimguttata,1961,1
Halyzia sedecimguttata,1962,1
Halyzia sedecimguttata,1970,1
Halyzia sedecimguttata,1973,3
Halyzia sedecimguttata,1974,2
Halyzia sedecimguttata,1976,1
Halyzia sedecimguttata,1977,6
Halyzia sedecimguttata,1981,1
Halyzia sedecimguttata,1983,13
Halyzia sedecimguttata,1984,3
Halyzia sedecimguttata,1985,9
Halyzia sedecimguttata,1986,2
Halyzia sedecimguttata,1987,4
Halyzia sedecimguttata,1988,11
Halyzia sedecimguttata,1989,54
Halyzia sedecimguttata,1990,48
Halyzia sedecimguttata,1991,50
Halyzia sedecimguttata,1992,65
Halyzia sedecimguttata,1993,39
Halyzia sedecimguttata,1994,29
Halyzia sedecimguttata,1995,32
Halyzia sedecimguttata,1996,37
Halyzia sedecimguttata,1997,29
Halyzia sedecimguttata,1998,69
Halyzia sedecimguttata,1999,124
Halyzia sedecimguttata,2000,254
Halyzia sedecimguttata,2001,277
Halyzia sedecimguttata,2002,278
Halyzia sedecimguttata,2003,228
Halyzia sedecimguttata,2004,563
Halyzia sedecimguttata,2005,626
Halyzia sedecimguttata,2006,591
Halyzia sedecimguttata,2007,412
Halyzia sedecimguttata,2008,259
Halyzia sedecimguttata,2009,233
Halyzia sedecimguttata,2010,238
Halyzia sedecimguttata,2011,35
Halyzia sedecimguttata,2012,21
Halyzia sedecimguttata,2013,205
Halyzia sedecimguttata,2014,235
Halyzia sedecimguttata,2015,299
Halyzia sedecimguttata,2016,357
Halyzia sedecimguttata,2017,481
Halyzia sedecimguttata,2018,415
Halyzia sedecimguttata,2019,290
Halyzia sedecimguttata,2020,214
Harmonia axyridis,2002,1
Harmonia axyridis,2003,4
Harmonia axyridis,2004,212
Harmonia axyridis,2005,2146
Harmonia axyridis,2006,5082
Harmonia axyridis,2007,8980
Harmonia axyridis,2008,4162
Harmonia axyridis,2009,3267
Harmonia axyridis,2010,2032
Harmonia axyridis,2011,370
Harmonia axyridis,2012,139
Harmonia axyridis,2013,3531
Harmonia axyridis,2014,5901
Harmonia axyridis,2015,4452
Harmonia axyridis,2016,4069
Harmonia axyridis,2017,3945
Harmonia axyridis,2018,2589
Harmonia axyridis,2019,2351
Harmonia axyridis,2020,1475
Harmonia axyridis form conspicua,2009,1
Harmonia axyridis form conspicua,2012,2
Harmonia axyridis form conspicua,2013,31
Harmonia axyridis form conspicua,2014,60
Harmonia axyridis form conspicua,2015,31
Harmonia axyridis form conspicua,2016,42
Harmonia axyridis form conspicua,2017,72
Harmonia axyridis form conspicua,2018,146
Harmonia axyridis form conspicua,2019,64
Harmonia axyridis form conspicua,2020,67
Harmonia axyridis form spectabilis,2008,1
Harmonia axyridis form spectabilis,2011,1
Harmonia axyridis form spectabilis,2012,2
Harmonia axyridis form spectabilis,2013,50
Harmonia axyridis form spectabilis,2014,66
Harmonia axyridis form spectabilis,2015,213
Harmonia axyridis form spectabilis,2016,394
Harmonia axyridis form spectabilis,2017,369
Harmonia axyridis form spectabilis,2018,470
Harmonia axyridis form spectabilis,2019,119
Harmonia axyridis form spectabilis,2020,129
Harmonia axyridis form succinea,2008,1
Harmonia axyridis form succinea,2009,1
Harmonia axyridis form succinea,2011,3
Harmonia axyridis form succinea,2012,15
Harmonia axyridis form succinea,2013,241
Harmonia axyridis form succinea,2014,358
Harmonia axyridis form succinea,2015,125
Harmonia axyridis form succinea,2016,236
Harmonia axyridis form succinea,2017,366
Harmonia axyridis form succinea,2018,498
Harmonia axyridis form succinea,2019,339
Harmonia axyridis form succinea,2020,364
Harmonia quadripunctata,1946,4
Harmonia quadripunctata,1953,3
Harmonia quadripunctata,1955,2
Harmonia quadripunctata,1958,5
Harmonia quadripunctata,1959,2
Harmonia quadripunctata,1961,2
Harmonia quadripunctata,1966,1
Harmonia quadripunctata,1967,3
Harmonia quadripunctata,1968,2
Harmonia quadripunctata,1969,6
Harmonia quadripunctata,1970,1
Harmonia quadripunctata,1971,11
Harmonia quadripunctata,1972,2
Harmonia quadripunctata,1974,1
Harmonia quadripunctata,1976,10
Harmonia quadripunctata,1977,3
Harmonia quadripunctata,1978,2
Harmonia quadripunctata,1979,3
Harmonia quadripunctata,1980,4
Harmonia quadripunctata,1981,9
Harmonia quadripunctata,1982,4
Harmonia quadripunctata,1983,11
Harmonia quadripunctata,1984,12
Harmonia quadripunctata,1985,8
Harmonia quadripunctata,1986,2
Harmonia quadripunctata,1987,1
Harmonia quadripunctata,1988,7
Harmonia quadripunctata,1989,6
Harmonia quadripunctata,1990,22
Harmonia quadripunctata,1991,13
Harmonia quadripunctata,1992,4
Harmonia quadripunctata,1993,3
Harmonia quadripunctata,1994,14
Harmonia quadripunctata,1995,26
Harmonia quadripunctata,1996,27
Harmonia quadripunctata,1997,16
Harmonia quadripunctata,1998,6
Harmonia quadripunctata,1999,14
Harmonia quadripunctata,2000,31
Harmonia quadripunctata,2001,30
Harmonia quadripunctata,2002,36
Harmonia quadripunctata,2003,51
Harmonia quadripunctata,2004,69
Harmonia quadripunctata,2005,87
Harmonia quadripunctata,2006,145
Harmonia quadripunctata,2007,94
Harmonia quadripunctata,2008,18
Harmonia quadripunctata,2009,31
Harmonia quadripunctata,2010,23
Harmonia quadripunctata,2011,8
Harmonia quadripunctata,2012,2
Harmonia quadripunctata,2013,21
Harmonia quadripunctata,2014,27
Harmonia quadripunctata,2015,38
Harmonia quadripunctata,2016,37
Harmonia quadripunctata,2017,40
Harmonia quadripunctata,2018,35
Harmonia quadripunctata,2019,82
Harmonia quadripunctata,2020,73
Henosepilachna argus,1997,1
Henosepilachna argus,1998,5
Henosepilachna argus,1999,7
Henosepilachna argus,2000,30
Henosepilachna argus,2001,16
Henosepilachna argus,2002,22
Henosepilachna argus,2003,7
Henosepilachna argus,2004,17
Henosepilachna argus,2005,4
Henosepilachna argus,2006,3
Henosepilachna argus,2007,6
Henosepilachna argus,2008,10
Henosepilachna argus,2009,13
Henosepilachna argus,2010,7
Henosepilachna argus,2011,2
Henosepilachna argus,2013,1
Henosepilachna argus,2014,16
Henosepilachna argus,2015,6
Henosepilachna argus,2016,13
Henosepilachna argus,2017,12
Henosepilachna argus,2018,11
Henosepilachna argus,2019,46
Henosepilachna argus,2020,34
Hippodamia tredecimpunctata,1854,2
Hippodamia tredecimpunctata,1855,2
Hippodamia tredecimpunctata,1885,2
Hippodamia tredecimpunctata,1888,4
Hippodamia tredecimpunctata,1893,1
Hippodamia tredecimpunctata,1894,1
Hippodamia tredecimpunctata,1897,5
Hippodamia tredecimpunctata,1898,3
Hippodamia tredecimpunctata,1902,2
Hippodamia tredecimpunctata,1911,3
Hippodamia tredecimpunctata,1927,1
Hippodamia tredecimpunctata,1938,1
Hippodamia tredecimpunctata,1980,1
Hippodamia tredecimpunctata,1988,2
Hippodamia tredecimpunctata,2002,2
Hippodamia tredecimpunctata,2003,4
Hippodamia tredecimpunctata,2004,5
Hippodamia tredecimpunctata,2005,1
Hippodamia tredecimpunctata,2006,2
Hippodamia tredecimpunctata,2008,2
Hippodamia tredecimpunctata,2009,3
Hippodamia tredecimpunctata,2010,2
Hippodamia tredecimpunctata,2011,4
Hippodamia tredecimpunctata,2013,2
Hippodamia tredecimpunctata,2014,2
Hippodamia tredecimpunctata,2015,5
Hippodamia tredecimpunctata,2017,3
Hippodamia tredecimpunctata,2018,1
Hippodamia variegata,1855,1
Hippodamia variegata,1886,2
Hippodamia variegata,1890,1
Hippodamia variegata,1892,1
Hippodamia variegata,1893,2
Hippodamia variegata,1896,1
Hippodamia variegata,1920,1
Hippodamia variegata,1935,2
Hippodamia variegata,1937,1
Hippodamia variegata,1941,2
Hippodamia variegata,1942,2
Hippodamia variegata,1945,1
Hippodamia variegata,1949,1
Hippodamia variegata,1953,1
Hippodamia variegata,1957,1
Hippodamia variegata,1958,1
Hippodamia variegata,1960,2
Hippodamia variegata,1961,1
Hippodamia variegata,1962,1
Hippodamia variegata,1965,2
Hippodamia variegata,1968,2
Hippodamia variegata,1971,1
Hippodamia variegata,1972,2
Hippodamia variegata,1975,1
Hippodamia variegata,1976,4
Hippodamia variegata,1977,3
Hippodamia variegata,1981,1
Hippodamia variegata,1982,3
Hippodamia variegata,1983,3
Hippodamia variegata,1984,5
Hippodamia variegata,1985,2
Hippodamia variegata,1986,3
Hippodamia variegata,1987,14
Hippodamia variegata,1988,6
Hippodamia variegata,1989,12
Hippodamia variegata,1990,25
Hippodamia variegata,1991,5
Hippodamia variegata,1992,17
Hippodamia variegata,1993,15
Hippodamia variegata,1994,28
Hippodamia variegata,1995,61
Hippodamia variegata,1996,19
Hippodamia variegata,1997,16
Hippodamia variegata,1998,9
Hippodamia variegata,1999,30
Hippodamia variegata,2000,33
Hippodamia variegata,2001,31
Hippodamia variegata,2002,36
Hippodamia variegata,2003,80
Hippodamia variegata,2004,78
Hippodamia variegata,2005,52
Hippodamia variegata,2006,92
Hippodamia variegata,2007,37
Hippodamia variegata,2008,42
Hippodamia variegata,2009,106
Hippodamia variegata,2010,40
Hippodamia variegata,2011,25
Hippodamia variegata,2012,2
Hippodamia variegata,2013,28
Hippodamia variegata,2014,25
Hippodamia variegata,2015,73
Hippodamia variegata,2016,35
Hippodamia variegata,2017,53
Hippodamia variegata,2018,86
Hippodamia variegata,2019,71
Hippodamia variegata,2020,63
Hyperaspis pseudopustulata,1600,1
Hyperaspis pseudopustulata,1848,4
